"num","team","total_points","total_notes","total_note_points","auto_notes","auto_points","teleop_notes","teleop_points","amp_notes","speaker_notes","amplified_notes","endgame_points","endgame_park_points","endgame_on_stage_points","endgame_harmony_points","endgame_trap_points","endgame_spotlight_points"
"176","Aces High","41","10.2","37","2.4","14.3","7.7","24.8","3.2","7","4.2","1.9","0.52","1.1","-0.02","0.3","0.02"
"118","Robonauts","40.9","8.1","33.5","2.5","14","5.6","21.1","2.7","5.4","4.2","5.8","0.03","3","-0.1","2.8","0.08"
"7021","TC Robotics","40.9","9.4","33.6","2.6","14.6","6.8","20.8","2.6","6.8","3.3","5.5","0.26","2.6","0.1","2.5","0.05"
"1114","Simbotics","40.7","10.6","37.3","2.3","13","8.3","26.1","2.7","7.9","4","1.7","0.55","1.1","-0.04","0","0.04"
"3061","Huskie Robotics","40.7","10.7","36.2","1.6","9.9","9.1","28.3","2.7","8","4.3","2.5","0.46","1.8","0.54","-0.4","0.16"
"1787","The Flying Circuits","40.7","10.5","35.3","1.8","10.6","8.7","26.6","3.6","6.9","4.2","3.5","0.29","2","-0.14","1.3","-0.02"
"8044","Denham Venom","40.5","10.3","35.1","1.8","10.8","8.5","26","3.3","7","4.1","3.8","0.17","2.4","-0.02","1.1","0.12"
"4039","MakeShift Robotics","40.5","9.3","35","2","11.5","7.3","25.2","3.1","6.3","4.5","3.7","0.34","2.1","-0.05","1.4","-0.1"
"1591","Greece Gladiators","40.3","10.1","34.5","2.5","14.5","7.6","22","2.1","8","3","3.8","0.07","3.1","0.38","0.1","0.19"
"694","StuyPulse","40.3","9.6","32.9","1.6","9.9","8","24.8","3.4","6.2","4.1","5.5","0.17","2.7","-0.05","2.6","0.11"
"5436","Cyber Cats","40.3","10.1","35.4","1.7","10.1","8.4","26.8","3.3","6.8","4.4","3.4","0.29","2.2","0.29","0.4","0.21"
"353","POBots","40.1","10","34.4","2.1","12.4","7.9","24.1","3.1","6.9","3.8","3.6","0.19","2.6","0.58","0","0.24"
"1699","Robocats","40.1","10","35.8","2.4","13.4","7.7","23.8","2.7","7.4","3.7","2.9","0.2","2.2","0.44","-0.1","0.09"
"2468","Team Appreciate","40","10.9","35","0.8","6","10.1","30.9","2.7","8.2","4.5","3.2","0.22","1.8","-0.08","1.3","-0.04"
"7028","Binary Battalion","39.8","10.5","38","2","11.8","8.5","28.1","2.8","7.7","4.6","0","1.15","-0.5","-0.14","-0.5","-0.02"
"4206","Robo Vikes","39.8","10.6","36","1.4","8.9","9.2","29.3","3.3","7.3","4.7","1.6","0.48","1.4","0.18","-0.6","0.09"
"3173","IgKnighters","39.7","11","37","2.3","13.2","8.6","25.3","2.9","8","3.7","1.2","0.65","0.5","-0.04","-0.1","0.16"
"5804","TORCH","39.7","10","35.3","2","11.6","8","25.1","3.4","6.6","4.2","3","0.08","2.3","0.12","0.3","0.22"
"9128","ITKAN Robotics","39.5","9.8","34.8","2.4","13.6","7.5","23.1","3","6.9","3.7","2.9","0.13","2.3","0.24","0.2","-0.02"
"4499","The Highlanders","39.5","8.7","31.6","2","11.7","6.7","21.8","2.9","5.7","3.8","5.9","0.09","3","-0.01","2.9","0"
"4230","TopperBots","39.5","9","34.6","2","11.2","7","24.8","3.6","5.4","4.8","3.4","0","2.4","-0.01","1","0.01"
"4607","C.I.S.","39.4","10.1","33.3","1.9","11.3","8.2","23.8","3.2","6.9","3.5","4.4","0.28","2.2","0.12","1.6","0.12"
"6443","AEMBOT","39.4","9.8","34.9","2.4","14","7.4","23.1","3.2","6.6","3.8","2.3","0.44","1","-0.1","0.9","-0.03"
"4795","Eastbots","39.3","11","36.3","2.1","12.5","8.8","25.7","3.2","7.8","3.7","1.2","0.97","0.1","-0.05","0.2","-0.05"
"8608","Alpha Bots","39.3","9.4","32.4","2.7","14.8","6.7","19.2","2.7","6.7","2.8","5.4","0.36","2.2","-0.18","2.9","0.13"
"1683","Techno Titans","39.3","11","36.4","2.4","14.1","8.6","24.3","2.8","8.3","3.3","0.9","0.74","-0.1","-0.1","0.2","0.09"
"2713","Red Hawk Robotics","39.3","9.6","34.8","1.8","10.8","7.9","26","3.3","6.3","4.5","2.5","0.48","1.4","0.05","0.4","0.17"
"1577","Steampunk","39.2","10.1","34.4","2","11.9","8.1","24.6","2.7","7.4","3.7","2.6","0.3","1.5","0.06","0.7","-0.01"
"3339","BumbleB","39.1","9.3","33.7","2.8","15.6","6.5","19.6","2.8","6.5","3.2","3.9","0.01","2.9","0.71","0","0.3"
"88","TJ²","39.1","9.2","31.2","2","11.9","7.2","21.2","2.5","6.7","3.1","6","0.2","2.4","-0.04","3.3","0.1"
"4028","The Beak Squad","39","8.7","30.8","1.8","11","6.8","21.7","2.6","6.1","3.5","6.4","0.22","2.3","0.01","3.7","0.16"
"4476","W.A.F.F.L.E.S.","39","10","34.4","1.5","9.8","8.5","26.8","3.5","6.6","4.4","2.4","0.16","2.3","0.48","-0.6","0.06"
"1318","Issaquah Robotics Society","38.9","9.1","30.8","2","12.1","7.1","20.6","2.1","7","2.9","6.3","0.12","2.6","-0.03","3.6","-0.01"
"1391","The Metal Moose","38.9","10.3","33.7","1.8","11.2","8.5","24.6","2.5","7.8","3.3","3.1","0.25","2.4","0.44","-0.2","0.16"
"1325","Inverse Paradox","38.9","10.4","35.8","1.4","8.5","9.1","28.9","3.8","6.6","4.9","1.5","0.6","0.8","0.01","0.1","0.01"
"3357","COMETS","38.8","10.3","33.8","1.7","10.6","8.5","25.1","3.2","7.1","3.7","3.1","0.35","1.8","0.39","0.4","0.13"
"1987","Broncobots","38.8","9.5","33.5","3","16.2","6.5","18.6","2.4","7.1","2.6","4","-0.06","2.7","0.07","1.1","0.18"
"3539","Byting Bulldogs","38.8","10.5","33.6","2.2","12.7","8.3","22.7","2.2","8.4","2.7","3.3","0.45","1.6","0.05","1.2","0.05"
"1816",""The Green Machine"","38.7","10.1","35.3","1.9","11.5","8.2","25.9","3.5","6.5","4.4","1.4","0.73","0.2","-0.08","0.6","-0.12"
"8033","Highlander Robotics","38.7","10.6","36","2.2","12.9","8.4","25","3.1","7.5","3.8","0.8","0.85","0","0.02","-0.1","0.06"
"3310","Black Hawk Robotics","38.4","8.9","31.2","2.1","12.5","6.8","20.9","3","5.8","3.4","5.1","0.19","2.2","-0.08","2.6","0.11"
"1477","Texas Torque","38.4","8.6","33","2.7","15.2","6","19.6","2.2","6.4","3.3","3.6","0.14","2.6","0.46","0.3","0.15"
"2129","Ultraviolet","38.4","10","34.3","2.3","13.3","7.7","23","3","7","3.5","2.1","0.08","2","0.02","-0.1","0.07"
"4946","The Alpha Dogs","38.3","8.2","31.1","2.3","13.8","5.9","19.5","2.5","5.8","3.4","5.1","0.25","2.2","-0.01","2.5","0.1"
"111","WildStang","38.2","10.6","36","2","11.9","8.6","25.7","3.9","6.7","4.2","0.7","0.52","0","-0.06","0.3","-0.04"
"1727","REX","38.1","10.2","34.5","1.8","11.2","8.4","25.5","4.1","6.1","4.2","1.5","0.47","1.4","-0.04","-0.4","0.07"
"2122","Team Tators","37.9","9.1","30.2","2","11.9","7.1","20.2","2.5","6.6","2.9","5.9","0.03","2.7","-0.06","3","0.24"
"9752","ITKAN Robotics Jr","37.9","9.4","34.3","2","11.5","7.5","24.3","3.1","6.4","4.2","2.1","0.17","1.7","-0.11","0.1","0.13"
"3572","Wavelength","37.9","9.7","33.3","2.5","14.1","7.2","20.9","2.6","7.1","3.1","2.9","0.28","2","0.27","0.1","0.27"
"3314","Mechanical Mustangs","37.8","8.7","31","2.4","13.8","6.3","19.2","2.8","5.9","3.1","4.9","0.15","2.1","-0.16","2.8","-0.02"
"2614","Mountaineer Area RoboticS (...","37.8","8.6","30.3","2.2","12.3","6.4","19.5","2.8","5.8","3.2","5.9","-0.02","3","0.02","2.8","0.17"
"1732","Hilltopper Robotics","37.7","8.8","30.5","2.1","12.8","6.7","19.8","3.1","5.7","3.2","5.1","0.11","2.7","0.11","2.2","0"
"1156","Under Control","37.6","9.6","34.6","2.4","13.3","7.2","22.5","3.5","6","3.9","1.8","0.4","1.3","0.2","-0.1","-0.01"
"3070","Team Pronto 3070","37.4","9.4","32.5","2.2","12.8","7.2","21.4","3.1","6.2","3.4","3.2","0.12","2.4","0.56","0","0"
"1768","Nashoba Robotics","37.3","10.4","34.1","2.4","14.1","8","22","2.6","7.8","2.9","1.3","0.18","1.3","0.04","-0.2","0"
"4611","OZone Robotics","37.3","8.9","32.9","2.1","12.4","6.8","22.4","2.2","6.7","3.7","2.5","0.38","1.4","0.43","0.3","-0.05"
"9084","Octobots","37.2","8.2","29.9","2.8","15.4","5.4","16.3","2.8","5.4","2.7","5.5","0.08","2.9","-0.08","2.6","0.06"
"78","AIR STRIKE","37.2","8.7","31.8","1.5","9.9","7.2","24.1","3.6","5.1","4.5","3.2","0.21","2.2","0.4","0.3","0.11"
"2145","HAZMATS","37.2","10.2","33","2.4","13.9","7.8","21.1","3","7.2","2.8","2.2","0.21","2","0.34","-0.4","0.09"
"1189","Gearheads","37.1","9.6","33.9","2","11.7","7.6","23.9","2.8","6.8","3.9","1.5","0.68","0.9","0","-0.1","0.08"
"1923","The MidKnight Inventors","37.1","9.4","30.9","1.4","8.6","8","23.8","3.1","6.3","3.7","4.7","0.21","2","-0.01","2.3","0.12"
"868","TechHOUNDS","37.1","9.3","32.7","2.9","16.1","6.4","18.1","2.9","6.4","2.8","3","0.15","1.6","0.34","0.5","0.41"
"9401","Midas' Mayhem","37.1","9.3","33.2","2.5","14.2","6.8","21","3","6.3","3.4","2","0.43","1.2","-0.01","0.3","0.08"
"3175","Knight Vision","37","9.8","33.1","2","11.4","7.7","23","3.1","6.6","3.5","2.7","0.39","1.9","0.26","0.2","-0.04"
"3604","Goon Squad","37","9.5","32.7","2","12","7.5","22.6","2.8","6.7","3.5","2.4","0.41","1.8","0.14","0.1","-0.01"
"5152","Alotobots","36.9","9.3","32.5","2.1","11.8","7.3","22.2","2.5","6.9","3.4","2.8","0.36","2","-0.09","0.4","0.1"
"3937","Breakaway","36.8","8.5","30.7","1.7","10.4","6.8","22.4","2.9","5.6","3.9","4","0","2.6","-0.03","1.2","0.24"
"5419","Berkelium","36.7","9.7","29.3","1.8","10.6","7.9","20.2","2.2","7.5","2.2","5.9","0.08","3","-0.08","3","0.01"
"2522","Royal Robotics","36.6","9.3","31.8","1.9","11.1","7.4","22.5","3.6","5.7","3.7","3","0.09","2.2","0.32","0.2","0.21"
"6619","GravitechX","36.6","10.5","33.4","2.2","13","8.3","22","2.5","8.1","2.7","1.6","0.37","1.1","0.26","-0.3","0.15"
"6090","Wayland Wildcats","36.6","9.4","31.2","2.1","12.4","7.3","20.6","2.7","6.7","2.9","3.5","0.11","2.8","0.29","0.3","0.05"
"4678","CyberCavs","36.5","8.4","28.6","2.3","13.8","6.1","17","3.1","5.3","2.6","5.7","0.11","2.6","-0.13","3.1","0.08"
"841","The BioMechs","36.4","10","32.5","1.3","8.1","8.7","26","2.2","7.7","3.6","2.4","0.1","2.1","0.11","0","0.08"
"876","Thunder Robotics","36.4","9.2","31.2","1.7","10.3","7.5","22.6","2.7","6.5","3.4","3.5","0.13","3","0.3","0","0.12"
"1501","Team THRUST","36.3","8","28.4","2.2","12.5","5.8","17.4","2.9","5.1","2.9","6.5","0.21","2.5","-0.07","3.7","0.13"
"9442","Miso Mechanics","36.3","10.3","33","1.9","11.7","8.4","23.3","3.1","7.3","3.2","1.2","0.5","0.3","0.16","0.3","-0.05"
"360","The Revolution","36.2","8.9","29.5","2","11.7","6.9","19.5","2.2","6.7","2.6","5","0.04","2.6","0.16","2","0.16"
"4738","Patribots","36.2","9.5","32.6","1.9","10.5","7.6","23.2","3.1","6.4","3.7","2.4","0.43","1.7","0.39","-0.2","0.12"
"910","The Foley Freeze","36.1","9","30.8","2","12.1","7","20.5","2.2","6.8","3","3.4","0.36","1.6","-0.15","1.6","0.01"
"5406","Celt-X","36.1","8","28.2","1.9","11.4","6.2","19","2.4","5.6","3","5.7","0.05","2.5","-0.06","3.1","0.09"
"2959","Robotarians","36","9.8","31.7","1.8","10.8","8","22.7","2.5","7.3","3.1","2.5","0.2","2.2","0.24","-0.2","0.03"
"687","The Nerd Herd","36","10","34.2","2.1","12.4","7.8","23.5","3.1","6.9","3.6","0.1","0.78","-0.6","-0.04","-0.1","0.01"
"4400","Cerbotics - Peñoles","35.9","10","32.8","2","11.1","8","22.8","4.7","5.3","3.8","2","0.46","1.1","0.12","0.1","0.24"
"16","Bomb Squad","35.9","9.4","31.7","1.4","8.6","8","24.7","3.2","6.2","4","2.6","0.47","1.8","0.46","-0.2","0.07"
"5809","The Jesubots 5809","35.9","9.4","32.7","1.9","10.8","7.6","23.4","2.7","6.7","3.7","1.6","0.39","1.4","0.06","-0.2","-0.01"
"7763","Carrborobotics","35.9","11.4","33.7","1.8","10.6","9.7","25","2.1","9.4","2.6","0.3","0.77","-0.5","-0.04","0","0.03"
"836","The RoboBees","35.8","8","29","2.5","14.4","5.5","16.2","2.4","5.7","2.5","5.2","0.24","2.5","-0.12","2.4","0.19"
"59","RamTech","35.7","7.7","27.2","1.4","9","6.3","20.2","3.1","4.6","3.6","6.5","-0.04","3.1","0.03","3.1","0.23"
"6081","Digital Dislocators","35.6","8.4","29.7","2.3","13.5","6.1","18.3","2.7","5.7","2.9","3.9","0.08","3.2","0.79","-0.5","0.31"
"67","The HOT Team","35.6","8.7","29.8","2.2","12.6","6.5","18.7","2.7","6","2.8","4.4","-0.04","2.3","-0.06","2.1","0.05"
"2611","Jacktown Vectors","35.6","10.4","32","2.1","12.8","8.3","21.5","2.2","8.1","2.4","1.2","0.62","0.5","0","0.1","0.07"
"195","CyberKnights","35.5","8.7","31.7","2","11.9","6.7","21.7","2.7","6","3.7","1.9","0.11","1.8","0.08","-0.2","0.13"
"624","CRyptonite","35.4","8.8","30.5","1.7","10.3","7.1","22.1","3","5.8","3.6","3","0.29","2.1","0.37","0.1","0.14"
"148","Robowranglers","35.3","8.1","29.8","1.9","10.9","6.2","20.6","3.1","4.9","3.8","3.9","0.14","1.9","-0.04","1.9","-0.02"
"829","The Digital Goats","35.3","8.7","29.4","2.1","12.7","6.5","18.8","2.1","6.6","2.6","3.9","0.09","2.8","0.2","0.5","0.25"
"4043","NerdHerd","35.3","7.9","29.7","2.1","12.1","5.8","19.5","3.4","4.5","3.8","3.7","0.37","2.4","0.3","0.4","0.21"
"9023","Future Martians","35.3","8.9","31.9","2","12.1","6.8","21.6","2.3","6.6","3.4","1.6","0.42","1.2","0.11","0","-0.06"
