3,TUIS3,2905,4481,4613,5883,5996,6064,6415,6417,6429,6431,6874,6909,6948,6985,7458,7466,7539,7551,7576,7672,7682,7758,8042,8054,8079,8084,8127,8570,8725,8784,8798,9020,9025,9029,9043,9155,9160,9232,9233,9247,9281,9441,9447,9451,9467,9468,9483,9510,9519,9523,9547,9565,9583,9610,9692,9694,10015,10031,10042,10068,10081,10110,10197,10200,
6,FLOR,21,59,79,86,179,233,386,801,1369,1557,1592,1744,1860,1902,2152,2797,3164,3242,3627,3932,4013,4024,4065,4118,4562,4622,5145,5276,5472,5557,5816,5842,6322,6473,6527,6722,7431,7459,8057,8324,8753,8775,8788,8817,8841,9040,9300,9402,9627,9670,9698,9720,9728,9778,10064,10071,10082,10086,10090,10092,10102,10123,10137,10162,
3,NYHE,28,263,271,287,329,353,358,369,496,514,527,533,545,564,569,601,640,806,810,870,871,884,1468,1546,1554,1601,1796,1803,2027,2161,2347,2487,2638,2869,2872,2875,2895,3015,3017,3053,3137,3171,3204,3624,3950,3990,4458,4567,5016,5099,5599,5736,6423,6593,6806,6911,7036,8267,9016,9646,,,,,
4,NYAL,20,28,229,250,271,333,334,514,564,639,1156,1405,1450,1493,1507,1511,1591,1772,1796,1880,2601,2791,3003,3044,3171,3360,3419,3624,3799,3951,3996,4122,4145,4955,4972,5016,5149,5881,6300,6621,6648,6868,6911,6969,7030,7031,7504,7575,7605,7668,7718,9406,9642,10109,,,,,,,,,,,
3,OHCL,48,112,120,191,291,379,424,451,695,1038,1308,1317,1511,1518,1708,1787,2010,2172,2252,2399,2603,2614,3193,3324,4121,4145,4269,4504,4601,4611,5133,5413,5667,6181,6964,7165,7460,7885,8140,8145,8222,8243,8581,8713,8718,9097,9139,9194,9622,9643,9767,10023,10187,10191,,,,,,,,,,,
4,IACF,167,525,648,967,1810,2264,2450,2470,2526,2530,2847,3055,3067,3267,3928,4182,4260,4607,4646,5041,5275,5434,5576,5837,5847,5914,5935,6217,6223,6419,6420,6455,6805,7021,7309,7531,7848,8024,8298,8737,8744,8766,8770,8821,8880,9092,9508,9543,9570,9579,9639,10038,10116,10121,,,,,,,,,,,
4,MOSL,931,1178,1208,1288,1329,1706,1756,2202,2352,2408,2783,2978,3284,3397,3814,3937,4143,4187,4213,4256,4329,4330,4500,4766,4931,5060,5176,5492,5583,6237,6391,6517,6744,7117,7255,7452,7472,7496,7662,7747,8069,8077,8719,9031,9401,9428,10094,10199,,,,,,,,,,,,,,,,,
6,CODE,159,662,1138,1303,1339,1410,1561,1619,1799,1822,1977,1986,2036,2083,2240,2259,2261,2945,2972,2996,3006,3200,3298,3374,3648,3729,3807,3931,4068,4293,4388,4418,4499,4550,4593,4635,4738,4944,5232,5493,5690,6652,6832,6920,7243,7479,7485,7737,8334,9068,9112,9552,9586,10010,,,,,,,,,,,
5,IDNA,114,359,399,1569,1619,1891,1983,2122,2130,2594,3166,3216,3243,3288,3405,4175,4598,4944,5012,5461,5871,5933,6036,6351,6358,6364,6400,6411,6647,7214,7426,7634,7895,7906,8546,8551,8756,8839,8885,9044,9138,9243,9314,9726,9737,10000,10041,10196,,,,,,,,,,,,,,,,,
5,MXTO,2283,3354,3472,3478,3480,3526,4355,4371,4400,4401,4403,4603,4735,4775,5133,5312,5526,5705,5948,6199,6348,6608,6702,7037,7040,7102,7577,7653,7669,7687,7725,8105,8266,8291,8293,9103,9282,9301,9513,10140,10143,10176,,,,,,,,,,,,,,,,,,,,,,,
6,AZTE,670,696,698,987,991,1011,1165,1212,1458,1726,1828,2403,2478,2659,2662,3019,3577,3853,3944,4146,4183,4565,4782,5059,5539,6127,6200,6413,6479,6824,6833,6922,7214,7645,7755,8012,8848,9059,9091,9704,9777,10050,10129,,,,,,,,,,,,,,,,,,,,,,
2,CAFR,8,100,581,840,1197,1280,1323,1622,1671,2073,2367,2489,3189,3257,3598,3646,3925,3970,5430,5817,5940,6059,6305,6434,6619,6647,6657,6711,6804,6814,6822,7583,8404,8546,8768,8840,9143,9706,10028,10049,10188,10194,,,,,,,,,,,,,,,,,,,,,,,
5,CALJ,702,812,968,1266,1538,1572,1622,1972,2102,2485,2543,2658,2827,2839,2853,2984,3020,3128,3255,3341,3491,3647,3704,3749,3882,3965,4160,4419,4584,4738,4919,4984,5025,5137,5331,5474,5514,5805,6515,6695,6885,6904,6995,7441,8119,8870,8891,9084,9452,9501,9573,9597,9730,10051,,,,,,,,,,,
4,TUIS4,3646,4191,5655,5665,5773,6415,6436,6459,6838,6874,6920,6968,6988,6989,7086,7458,7465,7742,7748,8058,8070,8153,8158,8159,8173,8261,8263,8264,8557,8561,8799,8800,8861,9001,9021,9026,9028,9074,9077,9089,9095,9231,9232,9409,9436,9490,9497,9545,9555,9601,9609,9625,9647,9690,10020,10048,10056,10088,10098,10101,10156,10173,10201,10216,
1,ILCH,16,111,112,144,171,325,876,1625,1736,1739,1781,1792,2022,2039,2040,2151,2338,2358,2704,2725,2830,3023,3061,3067,3110,3277,3352,3488,3695,3734,4011,4021,4096,4645,4655,4702,4787,5125,5442,5822,5847,5934,6421,6651,7237,7560,8029,8096,8122,8880,9082,9654,9669,10118,,,,,,,,,,,
1,CASE,115,253,604,668,1671,2035,2135,2445,2473,2647,2710,3256,4171,4255,4613,4739,4774,4817,4919,5027,5089,5104,5171,5449,5516,5700,6506,6665,6706,6884,6941,7413,7433,7528,7777,8011,8871,9006,9609,10075,10133,10202,,,,,,,,,,,,,,,,,,,,,,,
4,CACM,597,812,2403,2443,3020,3295,3309,3408,3473,3476,3952,4079,4141,4276,4322,4414,4415,4470,4619,4788,4964,4999,5025,5199,5514,5669,5805,5835,5857,6072,6220,6560,6695,7042,7157,7230,7415,7447,8020,8521,8888,8898,9271,9505,9520,9615,10028,10163,,,,,,,,,,,,,,,,,
3,NVLV,60,987,988,991,1388,2486,3009,3187,3216,3245,3476,3965,4183,4421,4470,4585,4627,4984,5049,5429,5474,5653,6352,6510,6560,6824,6825,6968,7077,7183,7235,7423,7425,7426,7654,7673,8005,8022,8387,8717,9002,9037,9151,9287,9534,10041,10060,10158,,,,,,,,,,,,,,,,,
