Number,Name,Country,State,City,District,Closest/Event1,Event2,Event3,Event4,W.E.C.,W.E.2,W.E.3,W.E.4,W.E.5,W.E.6,Rand1,Rand2,Rand3,R@E2,R@E4,SC12,SC13,SC23
236,Techno-Ticks,USA,Connecticut,Old Lyme,NE,CTHAR,MABRI,*,,2,3,,,,,0.9567419763,,,2,,-1,,
237,Black Magic Robotics,USA,Connecticut,Watertown,NE,CTWAT,MAWOR,*,,1,4,,,,,0.2939011884,,,2,,-3,,
238,Crusaders,USA,New Hampshire,Manchester,NE,NHSAL,MELEW,MASPR,*,5,1,3,,,,0.1476932764,0.1644377797,,6,3,4,2,-2
240,TEMPEST,USA,Michigan,Newport,FIM,MIBCT,MIBEL,*,,3,4,,,,,0.5030710626,,,0,,-1,,
244,RoboDawgs 3D,USA,Michigan,Grandville,FIM,MIALL,MIKEN,ONHAM,*,3,2,5,,,,0.5176435208,0.273728104,,0,6,1,-2,-3
245,Adambots,USA,Michigan,Rochester Hills,FIM,MITR1,MIKE1,MIMTP,*,2,1,4,,,,0.7916693156,0.65696735,,0,0,1,-2,-3
246,Lobstah Bots,USA,Massachusetts,Boston,NE,MAREV,RIKIN,MABRI,*,1,5,3,,,,0.3641719384,0.4431129988,,0,2,-4,-2,2
247,Team 247 Da Bears,USA,Michigan,Berkley,FIM,MIREN,MITR2,MIALP,*,1,3,5,,,,0.1018654342,0.1976011098,,0,1,-2,-4,-2
250,The Dynamos,USA,New York,Colonie,Regional,NYAL,NYSU,*,,4,5,,,,,0.9532168294,,,0,,-1,,
253,Boba Bots,USA,California,Millbrae,Regional,CASF,CASE,*,,4,1,,,,,0.156689266,,,0,,3,,
254,The Cheesy Poofs,USA,California,San Jose,Regional,CASJ,CABE,*,,3,6,,,,,0.388659549,,,0,,-3,,
263,Aftershock,USA,New York,Ronkonkoma,Regional,NYHE,NYSU,*,,3,5,,,,,0.9696578568,,,0,,-2,,
271,Mechanical Marauders,USA,New York,Bay Shore,Regional,NYHE,NYAL,*,,3,4,,,,,0.9455980434,,,0,,-1,,
272,Cyber Crusaders,USA,Pennsylvania,Lansdale,FMA,PAHOR,PABEN,NJWAS,*,4,2,1,,,,0.6808844927,0.4535178588,,0,4,2,3,1
280,TnT,USA,Michigan,Taylor,FIM,MIBCT,MITR1,*,,3,2,,,,,0.8224112816,,,0,,1,,
281,The GreenVillains,USA,South Carolina,Greenville,FSC,SCAND,SCGRE,SCNCH,*,1,2,4,,,,0.5645054402,0.5235471298,,5,6,-1,-3,-2
287,Floyd Robotics,USA,New York,Mastic Beach,Regional,NYHE,NYNY,*,,3,2,,,,,0.2982745843,,,0,,1,,
288,The RoboDawgs,USA,Michigan,Grandville,FIM,MIALL,MIKEN,ONHAM,*,3,2,5,,,,0.1569695716,0.1009935946,,0,6,1,-2,-3
291,CIA - Creativity In Action,USA,Pennsylvania,Erie,Regional,OHCL,PAPI,*,,3,2,,,,,0.3339378604,,,0,,1,,
292,PantherTech,USA,Indiana,Russiaville,FIN,INPLA,INCOL,INWAS,*,1,2,4,,,,0.7738854872,0.2015873283,,3,1,-1,-3,-2
293,SPIKE,USA,New Jersey,Pennington,FMA,NJSKI,NJALL,NJWAS,*,5,4,1,,,,0.5221726732,0.7698520327,,4,4,1,4,3
294,Beach Cities Robotics,USA,California,Redondo Beach,Regional,CALA,CAP2,CAAV,*,3,2,6,,,,0.489124589,0.7008129605,,0,0,1,-3,-4
296,Northern Knights,Canada,Québec,Montreal,Regional,QCMO,NYNY,*,,1,2,,,,,0.293811073,,,0,,-1,,
302,The Dragons,USA,Michigan,Lake Orion,FIM,MITR1,MIANN,MIMID,*,2,1,5,,,,0.358774841,0.5595764799,,0,1,1,-3,-4
303,The T.E.S.T. Team,USA,New Jersey,Bridgewater,FMA,NJSKI,NJTAB,PAPHI,*,5,1,3,,,,0.4948353326,0.7555945127,,5,0,4,2,-2
308,Monsters,USA,Michigan,Walled Lake,FIM,MIHIG,MILIV,*,,5,2,,,,,0.08999403381,,,0,,3,,
314,The Megatron Oracles,USA,Michigan,Flint,FIM,MIKE1,MIMID,MIBRO,*,1,5,3,,,,0.9642644827,0.9806395445,,1,0,-4,-2,2
316,LUNATECS,USA,New Jersey,Carneys Point,FMA,PAPHI,PABEN,VAPOR,*,3,2,4,,,,0.9271111399,0.7105093867,,0,11,1,-1,-2
319,Big Bad Bob,USA,New Hampshire,Alton,NE,NHDUR,RIKIN,NJALL,*,2,5,4,,,,0.9219696217,0.1613120761,,0,4,-3,-2,1
321,RoboLancers,USA,Pennsylvania,Philadelphia,FMA,PAPHI,NJWAS,*,,3,1,,,,,0.5913845403,,,4,,2,,
323,Lights Out,USA,Arkansas,Alma,Regional,OKTU,ARSE,*,,5,6,,,,,0.6960124789,,,0,,-1,,
324,Chips,USA,Texas,Friendswood,FIT,TXCLE,TXKAT,*,,5,3,,,,,0.144185741,,,4,,2,,
325,Respawn Robotics,USA,Ohio,Hamilton,Regional,OHCI,ILCH,*,*,6,1,,,,,0.222242978,0.00001371191544,,0,,5,6,1
328,Penn Robotics Golden Rooks,USA,Indiana,Mishawaka,FIN,INMIS,INPLA,*,,3,1,,,,,0.5141995689,,,0,,2,,
329,Mohawks,USA,New York,Medford,Regional,NYHE,NYNY,*,,3,2,,,,,0.4919374062,,,0,,1,,
333,MEGALODONS,USA,New York,Brooklyn,Regional,NYNY,NYAL,*,,2,4,,,,,0.6463076596,,,0,,-2,,
334,TechKnights,USA,New York,Brooklyn,Regional,NYNY,NYAL,*,,2,4,,,,,0.6290606024,,,0,,-2,,
335,Skillz Tech Gear Botz,USA,New York,Brooklyn,Regional,NYNY,*,,,2,,,,,,0.1925637289,,,,,2,,
339,Kilroy Robotics,USA,Virginia,Stafford,CHS,VAFAL,VABLA,*,,3,5,,,,,0.9857710203,,,11,,-2,,
340,G.R.R. (Greater Rochester Robotics),USA,New York,Churchville,Regional,NYRO,PAPI,*,,6,2,,,,,0.9141164985,,,0,,4,,
341,Miss Daisy,USA,Pennsylvania,Ambler,FMA,PAHOR,NJWAS,PABEN,*,4,1,2,,,,0.7571569792,0.2414677235,,4,0,3,2,-1
342,Burning Magnetos,USA,South Carolina,North Charleston,FSC,SCNCH,SCGRE,SCAND,*,4,2,1,,,,0.4277530518,0.8152459381,,5,7,2,3,1
343,Metal-In-Motion,USA,South Carolina,Seneca,FSC,SCAND,SCGRE,SCNCH,*,1,2,4,,,,0.3536227199,0.06600647081,,5,6,-1,-3,-2
346,RoboHawks,USA,Virginia,Richmond,CHS,VAFAL,VABLA,*,,3,5,,,,,0.1832118029,,,11,,-2,,
348,Norwell Robotics,USA,Massachusetts,Norwell,NE,MABRI,MELEW,*,,3,1,,,,,0.6171864244,,,6,,2,,
353,POBots,USA,New York,Plainview,Regional,NYHE,NYSU,*,,3,5,,,,,0.05946158716,,,0,,-2,,
354,G-House Pirates,USA,New York,Brooklyn,Regional,NYNY,NYSU,*,,2,5,,,,,0.9271844,,,0,,-3,,
358,Robotic Eagles,USA,New York,Hauppauge,Regional,NYHE,NYNY,*,*,3,2,,,,,0.3223049773,0.5994644152,,0,,1,3,2
359,Hawaiian Kids,USA,Hawaii,Waialua,Regional,HIHO,BCVI,IDNA,*,2,1,5,,,,0.07809892394,0.2823764981,,0,0,1,-3,-4
360,The Revolution,USA,Washington,Tacoma,PNW,WAAUB,WASNO,*,,2,5,,,,,0.8850991134,,,5,,-3,,
364,Team Fusion 364,USA,Mississippi,Gulfport,Regional,MSLA,ALHU,*,*,3,4,,,,,0.3096673954,0.3088531246,,0,,-1,3,4
365,Miracle Workerz,USA,Delaware,Wilmington,FMA,PAPHI,NJTAB,*,,3,1,,,,,0.4928891199,,,5,,2,,
368,Team Kika Mana,USA,Hawaii,Honolulu,Regional,HIHO,CASJ,*,,2,3,,,,,0.07493948971,,,0,,-1,,
369,High Voltage Robotics,USA,New York,Brooklyn,Regional,NYNY,NYHE,*,*,2,3,,,,,0.1322286821,0.7369296856,,0,,-1,2,3
378,The Circuit Stompers,USA,New York,Newfane,Regional,NYRO,PAPI,*,,6,2,,,,,0.6090043355,,,0,,4,,
379,The RoboCats,USA,Ohio,Girard,Regional,OHCL,OHCI,LAKE,*,3,6,5,,,,0.3194614532,0.4090014989,,0,0,-3,-2,1
386,Team Voltage,USA,Florida,Melbourne,Regional,FLOR,FLTA,*,,6,4,,,,,0.438810105,,,0,,2,,
395,2 Train Robotics,USA,New York,Bronx,Regional,NYNY,NYSU,*,,2,5,,,,,0.9949162704,,,0,,-3,,
399,Eagle Robotics,USA,California,Lancaster,Regional,CAAV,IDNA,CAP2,*,6,5,2,,,,0.9975746778,0.5372929387,,0,0,1,4,3
401,Copperhead Robotics,USA,Virginia,Blacksburg,CHS,VABLA,VAGLE,*,,5,3,,,,,0.2456214301,,,10,,2,,
404,⚒️ 404 Not Found ⚒️,USA,Virginia,Petersburg,CHS,VAGLE,VAASH,VABLA,*,3,2,5,,,,0.08608562362,0.6471323873,,9,11,1,-2,-3
418,Purple Haze,USA,Texas,Austin,FIT,TXAUS,TXBEL,*,,1,2,,,,,0.5816797934,,,0,,-1,,
422,The Mech Tech Dragons,USA,Virginia,Richmond,CHS,VAGLE,VAPOR,NCWAK,*,3,4,2,,,,0.183689536,0.07698758256,,11,3,-1,1,2
423,Simple Machines,USA,Pennsylvania,Glenside,FMA,PAPHI,PAHOR,NJWAS,*,3,4,1,,,,0.7289074158,0.5595891557,,4,4,-1,2,3
424,Rust Belt Robotics,USA,New York,Buffalo,Regional,NYRO,OHCL,*,,6,3,,,,,0.4455763282,,,0,,3,,
427,LANCE-A-LOT,USA,Pennsylvania,Philadelphia,FMA,PAPHI,PAHOR,*,,3,4,,,,,0.9908881202,,,4,,-1,,
428,BoroBlasters,USA,New Jersey,Hillsborough,FMA,NJSKI,NJTAB,*,,5,1,,,,,0.5372983199,,,5,,4,,
433,Firebirds,USA,Pennsylvania,Flourtown,FMA,PAPHI,PAHOR,*,,3,4,,,,,0.9360233977,,,4,,-1,,
435,Robodogs,USA,North Carolina,Raleigh,FNC,NCWAK,NCPEM,*,,2,3,,,,,0.4251809615,,,4,,-1,,
447,Team Roboto,USA,Indiana,Anderson,FIN,INPLA,INCOL,*,,1,2,,,,,0.1288748486,,,3,,-1,,
449,The Blair Robot Project,USA,Maryland,Silver Spring,CHS,VAFAL,VABLA,*,,3,5,,,,,0.550855281,,,11,,-2,,
451,The Cat Attack,USA,Ohio,Maumee,Regional,OHCL,OHCI,*,,3,6,,,,,0.6401463807,,,0,,-3,,
453,Rockem Sockem Robotics,USA,Michigan,Clinton Township,FIM,MISTE,MIMTP,*,,5,4,,,,,0.9236763996,,,0,,1,,
456,Siege Robotics,USA,Mississippi,Vicksburg,Regional,MSLA,ARSE,*,,3,6,,,,,0.3166959182,,,0,,-3,,
457,⚙️ Grease Monkeys ⚙️,USA,Texas,San Antonio,FIT,TXAUS,TXKAT,TXDAL,*,1,3,4,,,,0.03601190094,0.6192232955,,4,1,-2,-3,-1
461,Westside Boiler Invasion,USA,Indiana,West Lafayette,FIN,INPLA,INMIS,*,,1,3,,,,,0.09329432932,,,3,,-2,,
467,Colonials,USA,Massachusetts,Shrewsbury,NE,MAWOR,NHSAL,*,,4,5,,,,,0.8786409248,,,2,,-1,,
469,Las Guerrillas,USA,Michigan,Pontiac,FIM,MITR2,MILIV,MIHIG,*,3,2,5,,,,0.6933742816,0.02230210068,,0,0,1,-2,-3
484,Roboforce,USA,Pennsylvania,Havertown,FMA,PAPHI,PAHOR,NJWAS,*,3,4,1,,,,0.9577764442,0.01479235446,,4,4,-1,2,3
486,Positronic Panthers,USA,Pennsylvania,Wallingford,FMA,PAPHI,PAHOR,*,,3,4,,,,,0.7492732604,,,4,,-1,,
488,Team XBOT,USA,Washington,Seattle,PNW,WABEL,WASNO,*,,3,5,,,,,0.1081102776,,,5,,-2,,
492,Titan Robotics Club,USA,Washington,Bellevue,PNW,WABEL,ORSAL,*,,3,1,,,,,0.9166382371,,,6,,2,,
